<0, 19, 4, 128, 255, 85, 240, 255, 170, 16, 255, 85, 160, 255, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<1, 20, 3, 128, 255, 85, 240, 255, 170, 16, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<2, 16, 4, 171, 255, 21, 0, 255, 230, 0, 255, 205, 0, 255, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<3, 19, 4, 224, 255, 85, 16, 255, 170, 96, 255, 170, 176, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<4, 17, 4, 16, 255, 255, 64, 255, 170, 144, 255, 170, 224, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<5, 7, 5, 64, 255, 85, 192, 255, 85, 64, 255, 85, 96, 255, 85, 128, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<6, 10, 1, 176, 255, 255, 96, 255, 255, 192, 255, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<7, 19, 2, 128, 255, 85, 0, 255, 85, 160, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<8, 3, 1, 240, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<9, 10, 2, 80, 255, 255, 208, 255, 255, 64, 255, 255, 96, 255, 85, 128, 255, 85, 160, 255, 85, 192, 255, 170, 224, 255, 85>
<10, 7, 3, 0, 255, 120, 192, 255, 170, 128, 255, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<11, 16, 2, 45, 255, 49, 173, 255, 149, 16, 255, 85, 144, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<12, 9, 8, 0, 128, 255, 32, 128, 85, 64, 128, 255, 96, 128, 255, 128, 128, 85, 160, 128, 255, 192, 128, 170, 224, 128, 170>
<13, 12, 3, 16, 255, 170, 144, 255, 170, 80, 255, 170, 96, 255, 170, 128, 255, 170, 160, 255, 170, 192, 255, 170, 224, 255, 170>
<14, 6, 3, 224, 255, 170, 96, 255, 170, 160, 255, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<15, 2, 3, 64, 255, 0, 0, 0, 120, 0, 255, 120, 160, 255, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<16, 3, 2, 0, 255, 170, 16, 255, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<17, 10, 3, 208, 255, 170, 64, 255, 170, 128, 255, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<18, 7, 4, 0, 255, 170, 240, 255, 120, 16, 255, 170, 96, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
<19, 8, 4, 160, 255, 0, 64, 255, 170, 80, 255, 170, 144, 255, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0>
